Name,Email,Signed Amendment,Purchase Date,Investment Amount,OGN Amount,Purchase Round,Login Link
"Tom, CoinList, Rejected",tom+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Tom, CoinList, No Response",tom+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Tom, Strategic, Accepted",tom+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"Tom, Strategic, Rejected",tom+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Tom, Strategic, No Response",tom+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"Micah, CoinList, Rejected",micah+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Micah, CoinList, No Response",micah+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Micah, Strategic, Accepted",micah+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"Micah, Strategic, Rejected",micah+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Micah, Strategic, No Response",micah+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"Matt, CoinList, Rejected",matt+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Matt, CoinList, No Response",matt+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Matt, Strategic, Accepted",matt+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"Matt, Strategic, Rejected",matt+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Matt, Strategic, No Response",matt+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"Kay, CoinList, Rejected",kay+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Kay, CoinList, No Response",kay+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Kay, Strategic, Accepted",kay+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000","2,500,000.00",Strategic,
"Kay, Strategic, Rejected",kay+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Kay, Strategic, No Response",kay+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"Aure, CoinList, Rejected",aure+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Aure, CoinList, No Response",aure+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Aure, Strategic, Accepted",aure+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"Aure, Strategic, Rejected",aure+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Aure, Strategic, No Response",aure+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"Josh, CoinList, Rejected",josh+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Josh, CoinList, No Response",josh+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Josh, Strategic, Accepted",josh+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"Josh, Strategic, Rejected",josh+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Josh, Strategic, No Response",josh+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"Mila, CoinList, Rejected",mila+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Mila, CoinList, No Response",mila+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Mila, Strategic, Accepted",mila+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"Mila, Strategic, Rejected",mila+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Mila, Strategic, No Response",mila+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"Anna, CoinList, Rejected",anna+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Anna, CoinList, No Response",anna+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Anna, Strategic, Accepted",anna+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"Anna, Strategic, Rejected",anna+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Anna, Strategic, No Response",anna+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"Coleman, CoinList, Rejected",coleman+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Coleman, CoinList, No Response",coleman+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Coleman, Strategic, Accepted",coleman+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"Coleman, Strategic, Rejected",coleman+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Coleman, Strategic, No Response",coleman+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"Zaur, CoinList, Rejected",zaur+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Zaur, CoinList, No Response",zaur+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Zaur, Strategic, Accepted",zaur+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"Zaur, Strategic, Rejected",zaur+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Zaur, Strategic, No Response",zaur+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"June, CoinList, Rejected",june+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"June, CoinList, No Response",june+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"June, Strategic, Accepted",june+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"June, Strategic, Rejected",june+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"June, Strategic, No Response",june+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"Yeongin, CoinList, Rejected",yeongin+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Yeongin, CoinList, No Response",yeongin+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Yeongin, Strategic, Accepted",yeongin+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"Yeongin, Strategic, Rejected",yeongin+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Yeongin, Strategic, No Response",yeongin+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
"Holly, CoinList, Rejected",holly+cl+rejected@originprotocol.com,No,2018/01/01,"$3,000",22000,CoinList,
"Holly, CoinList, No Response",holly+cl+noresponse@originprotocol.com,Did not respond,2018/01/01,"$10,000",73333.33,CoinList,
"Holly, Strategic, Accepted",holly+strategic+accepted@originprotocol.com,Yes,2018/01/01,"$300,000",2500000,Strategic,
"Holly, Strategic, Rejected",holly+strategic+rejected@originprotocol.com,No,2018/01/01,"$150,000",1250000,Strategic,
"Holly, Strategic, No Response",holly+strategic+noresponse@originprotocol.com,Did not respond,2018/01/01,"$75,000",625000,Strategic,
